"","especie","eco_con","eco_dud","hab_con","hab_dud","tha","ele_inf","ele_sup"
"178","Eptesicus chiriquinus","Yungas","","selvas o bosques","","BAJA","998","2117"
"179","Eptesicus diminutus","Yungas; Chaco Húmedo; Esteros del Iberá; Espinal; Delta e Islas del Paraná; Pampa","Chaco Seco; Selva Paranaense","selvas o bosques; pastizales; forestaciones","cultivos o agrícolas; pasturas ganaderas; urbano o periurbano","MEDIA","10","1448"
"180","Eptesicus furinalis","Yungas; Monte de Sierras y Bolsones; Monte de Llanuras y Mesetas; Chaco Seco; Chaco Húmedo; Campos y Malezales; Esteros del Iberá; Espinal; Delta e Islas del Paraná; Pampa; Selva Paranaense","","selvas o bosques; arbustales; pastizales","cultivos o agrícolas; embalses o diques; urbano o periurbano","ALTA","6","2100"
"181","Eptesicus ulapesensis","Monte de Llanuras y Mesetas; Chaco Seco","","arbustales; lagos o lagunas; rios o arroyos","embalses o diques; canales artificiales","MEDIA","482","635"
"182","Eubalaena australis","Islas del Atlántico Sur; X Mar Argentino","","costeros; oceánicos","","DESCONOCIDA","",""
"183","Eumops auripendulus","Espinal; Delta e Islas del Paraná; Selva Paranaense","","selvas o bosques; arbustales","urbano o periurbano","MEDIA","40","400"
"184","Eumops bonariensis","Yungas; Chaco Seco; Campos y Malezales; Espinal; Delta e Islas del Paraná; Pampa","","selvas o bosques; arbustales; pastizales","urbano o periurbano","MEDIA","0","850"
"185","Eumops dabbenei","Yungas; Chaco Seco; Chaco Húmedo; Espinal; Delta e Islas del Paraná","","selvas o bosques; arbustales","cultivos o agrícolas; urbano o periurbano","MEDIA","20","750"
"186","Eumops glaucinus","Yungas; Chaco Seco; Selva Paranaense","","selvas o bosques; arbustales","cultivos o agrícolas; pasturas ganaderas; urbano o periurbano","MEDIA","20","1000"
"187","Eumops patagonicus","Yungas; Monte de Llanuras y Mesetas; Chaco Seco; Chaco Húmedo; Campos y Malezales; Esteros del Iberá; Espinal; Delta e Islas del Paraná; Pampa; Selva Paranaense","","selvas o bosques; arbustales; estepas","urbano o periurbano","MEDIA","20","650"
"188","Eumops perotis","Yungas; Chaco Seco; Chaco Húmedo; Espinal; Delta e Islas del Paraná; Pampa; Selva Paranaense","","selvas o bosques; pastizales","cultivos o agrícolas; forestaciones; pasturas ganaderas; urbano o periurbano","ALTA","10","1600"
"189","Euneomys chinchilloides","Altos Andes; Bosque Patagónico; Estepa Patagónica","","rupestre; estepas","","BAJA","0","4000"
"190","Euneomys fossor","","","","","DESCONOCIDA","",""
"191","Euneomys mordax","Altos Andes; Bosque Patagónico","","pastizales; rupestre","selvas o bosques; arbustales","DESCONOCIDA","1600","3300"
"192","Euphractus sexcinctus","Yungas; Chaco Seco; Chaco Húmedo; Campos y Malezales; Esteros del Iberá; Espinal; Pampa; Selva Paranaense","","arbustales; pastizales; cultivos o agrícolas; forestaciones; pasturas ganaderas","selvas o bosques; urbano o periurbano","ALTA","0","1600"
"193","Euryoryzomys legatus","Yungas","","","","MEDIA","",""
"194","Euryoryzomys russatus","Selva Paranaense","","selvas o bosques","","BAJA","",""
