"Familia","Especie","Nacional","Global","Endemismo","f_edit","f_new","f_delete"
"Ctenomyidae","Ctenomys roigi","CR","CR","1",FALSE,"FALSE","FALSE"
"Ctenomyidae","Ctenomys sociabilis","EN","CR","1",FALSE,"FALSE","FALSE"
"Ctenomyidae","Ctenomys talarum","VU","LC","1",FALSE,"FALSE","FALSE"
"Ctenomyidae","Ctenomys tuconax","EN","DD","1",FALSE,"FALSE","FALSE"
"Ctenomyidae","Ctenomys tucumanus","VU","DD","1",FALSE,"FALSE","FALSE"
"Cuniculidae","Cuniculus paca","NT","LC",,FALSE,"FALSE","FALSE"
"Dasyproctidae","Dasyprocta azarae","NT","DD",,FALSE,"FALSE","FALSE"
"Echimyidae","Euryzygomatomys spinosus","NT","LC",,FALSE,"FALSE","FALSE"
"Echimyidae","Kannabateomys amblyonyx","NT","LC",,FALSE,"FALSE","FALSE"
"Erethizontidae","Coendou bicolor","VU","LC",,FALSE,"FALSE","FALSE"
"Erethizontidae","Coendou prehensilis","VU","LC",,FALSE,"FALSE","FALSE"
"Octodontidae","Aconaemys porteri","NT","DD",,FALSE,"FALSE","FALSE"
"Octodontidae","Aconaemys sagei","VU","DD",,FALSE,"FALSE","FALSE"
"Octodontidae","Octodon bridgesi","VU","VU",,FALSE,"FALSE","FALSE"
"Octodontidae","Octomys mimax","VU","LC","1",FALSE,"FALSE","FALSE"
"Octodontidae","Tympanoctomys aureus","CR","CR","1",FALSE,"FALSE","FALSE"
"Octodontidae","Tympanoctomys barrerae","NT","NT","1",FALSE,"FALSE","FALSE"
"Octodontidae","Tympanoctomys kirchnerorum","VU","DD","1",FALSE,"FALSE","FALSE"
"Octodontidae","Tympanoctomys loschalchalerosorum","CR","CR","1",FALSE,"FALSE","FALSE"
"Sciuridae","Notosciurus pucheranii","NT",,,FALSE,"FALSE","FALSE"
"Caenolestidae","Rhyncholestes raphanurus","VU","NT","0",TRUE,"FALSE","FALSE"
"Abrocomidae","Abrocoma budini","VU","DD","1",FALSE,"FALSE","FALSE"
"Abrocomidae","Abrocoma famatina","VU","DD","1",FALSE,"FALSE","FALSE"
"Abrocomidae","Abrocoma schistacea","VU","NoIUCN","0",TRUE,"FALSE","FALSE"
"Abrocomidae","Abrocoma uspallata","VU","DD","1",FALSE,"FALSE","FALSE"
"Abrocomidae","Abrocoma vaccarum","VU","DD","1",FALSE,"FALSE","FALSE"
"Atelidae","Alouatta caraya","VU","NT","0",TRUE,"FALSE","FALSE"
"Atelidae","Alouatta guariba","CR","VU","0",TRUE,"FALSE","FALSE"
