"ID","Familia","Especie","f_borrado_cons","f_editado_cons","f_borrado_habs","f_editado_habs","f_nuevo_habs","f_borrado_elev","f_editado_elev","rev_con","rev_hab","rev_ele"
"Mamiferos88","Cricetidae","Juliomys pictipes",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Mamiferos89","Cricetidae","Necromys obscurus",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Mamiferos90","Cricetidae","Oecomys franciscorum",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Mamiferos91","Cricetidae","Oxymycterus wayku",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Mamiferos92","Cricetidae","Phyllotis bonariensis",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Mamiferos93","Cricetidae","Phyllotis nogalaris",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Mamiferos94","Cricetidae","Salinomys delicatus",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Mamiferos95","Cricetidae","Tapecomys primus",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Mamiferos96","Ctenomyidae","Ctenomys argentinus",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Mamiferos97","Ctenomyidae","Ctenomys australis",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Mamiferos98","Ctenomyidae","Ctenomys bergi",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Mamiferos99","Ctenomyidae","Ctenomys bonettoi",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Mamiferos100","Ctenomyidae","Ctenomys chasiquensis",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Mamiferos101","Ctenomyidae","Ctenomys dorbignyi",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Mamiferos102","Ctenomyidae","Ctenomys emilianus",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Mamiferos103","Ctenomyidae","Ctenomys latro",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Mamiferos104","Ctenomyidae","Ctenomys magellanicus",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Mamiferos105","Ctenomyidae","Ctenomys occultus",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Mamiferos106","Ctenomyidae","Ctenomys osvaldoreigi",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Mamiferos107","Ctenomyidae","Ctenomys pearsoni",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Mamiferos108","Ctenomyidae","Ctenomys perrensi",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Mamiferos109","Ctenomyidae","Ctenomys porteousi",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Mamiferos110","Ctenomyidae","Ctenomys pundti",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Mamiferos111","Ctenomyidae","Ctenomys rionegrensis",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Mamiferos112","Ctenomyidae","Ctenomys roigi",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Mamiferos113","Ctenomyidae","Ctenomys sociabilis",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Mamiferos114","Ctenomyidae","Ctenomys talarum",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Mamiferos115","Ctenomyidae","Ctenomys tuconax",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Mamiferos116","Ctenomyidae","Ctenomys tucumanus",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Mamiferos117","Cuniculidae","Cuniculus paca",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Mamiferos118","Dasyproctidae","Dasyprocta azarae",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Mamiferos119","Echimyidae","Euryzygomatomys spinosus",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Mamiferos120","Echimyidae","Kannabateomys amblyonyx",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Mamiferos121","Erethizontidae","Coendou bicolor",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Mamiferos122","Erethizontidae","Coendou prehensilis",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Mamiferos124","Octodontidae","Aconaemys sagei",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Mamiferos125","Octodontidae","Octodon bridgesi",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Mamiferos126","Octodontidae","Octomys mimax",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Mamiferos127","Octodontidae","Tympanoctomys aureus",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Mamiferos128","Octodontidae","Tympanoctomys barrerae",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Mamiferos129","Octodontidae","Tympanoctomys kirchnerorum",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Mamiferos130","Octodontidae","Tympanoctomys loschalchalerosorum",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Mamiferos131","Sciuridae","Notosciurus pucheranii",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
